ds,hour,station_key,guests_count,version,required,actual,diff,status
2026-04-30,22,FF,70,будни/осн.,1,1,0,exact
2026-04-30,22,K,70,будни/осн.,4,4,0,exact
2026-04-30,22,TS,70,будни/осн.,1,1,0,exact
2026-05-01,7,BVR,73,вых/утр.,1,1,0,exact
2026-05-01,7,C,73,вых/утр.,2,2,0,exact
2026-05-01,7,FF,73,вых/утр.,1,1,0,exact
2026-05-01,7,K,73,вых/утр.,3,3,0,exact
2026-05-01,7,TS,73,вых/утр.,1,1,0,exact
2026-05-01,8,BVR,75,вых/утр.,1,1,0,exact
2026-05-01,8,C,75,вых/утр.,2,2,0,exact
2026-05-01,8,FF,75,вых/утр.,1,1,0,exact
2026-05-01,8,K,75,вых/утр.,3,3,0,exact
2026-05-01,8,TS,75,вых/утр.,1,1,0,exact
2026-05-01,9,BVR,73,вых/утр.,1,1,0,exact
2026-05-01,9,C,73,вых/утр.,2,2,0,exact
2026-05-01,9,FF,73,вых/утр.,1,1,0,exact
2026-05-01,9,K,73,вых/утр.,3,3,0,exact
2026-05-01,9,TS,73,вых/утр.,1,1,0,exact
2026-05-01,10,BVR,24,вых/осн.,1,1,0,exact
2026-05-01,10,C,24,вых/осн.,1,1,0,exact
2026-05-01,10,FF,24,вых/осн.,1,1,0,exact
2026-05-01,10,K,24,вых/осн.,2,2,0,exact
2026-05-01,10,TS,24,вых/осн.,1,1,0,exact
2026-05-01,11,BVR,21,вых/осн.,1,1,0,exact
2026-05-01,11,C,21,вых/осн.,1,1,0,exact
2026-05-01,11,FF,21,вых/осн.,1,1,0,exact
2026-05-01,11,K,21,вых/осн.,2,2,0,exact
2026-05-01,11,TS,21,вых/осн.,1,1,0,exact
2026-05-01,12,BVR,24,вых/осн.,1,1,0,exact
2026-05-01,12,C,24,вых/осн.,1,2,1,over
2026-05-01,12,FF,24,вых/осн.,1,1,0,exact
2026-05-01,12,K,24,вых/осн.,2,2,0,exact
2026-05-01,12,TS,24,вых/осн.,1,1,0,exact
2026-05-01,13,BVR,72,вых/осн.,1,1,0,exact
2026-05-01,13,C,72,вых/осн.,3,3,0,exact
2026-05-01,13,FF,72,вых/осн.,1,1,0,exact
2026-05-01,13,K,72,вых/осн.,4,4,0,exact
2026-05-01,13,TS,72,вых/осн.,1,1,0,exact
2026-05-01,14,BVR,72,вых/осн.,1,1,0,exact
2026-05-01,14,C,72,вых/осн.,3,3,0,exact
2026-05-01,14,FF,72,вых/осн.,1,1,0,exact
2026-05-01,14,K,72,вых/осн.,4,4,0,exact
2026-05-01,14,TS,72,вых/осн.,1,1,0,exact
2026-05-01,15,BVR,47,вых/осн.,1,1,0,exact
2026-05-01,15,C,47,вых/осн.,1,1,0,exact
2026-05-01,15,FF,47,вых/осн.,1,1,0,exact
2026-05-01,15,K,47,вых/осн.,3,3,0,exact
2026-05-01,15,TS,47,вых/осн.,1,1,0,exact
2026-05-01,16,BVR,36,вых/осн.,1,1,0,exact
2026-05-01,16,C,36,вых/осн.,1,1,0,exact
2026-05-01,16,FF,36,вых/осн.,1,1,0,exact
2026-05-01,16,K,36,вых/осн.,2,2,0,exact
2026-05-01,16,TS,36,вых/осн.,1,1,0,exact
2026-05-01,17,BVR,31,вых/осн.,1,1,0,exact
2026-05-01,17,C,31,вых/осн.,1,1,0,exact
2026-05-01,17,FF,31,вых/осн.,1,1,0,exact
2026-05-01,17,K,31,вых/осн.,2,2,0,exact
2026-05-01,17,TS,31,вых/осн.,1,1,0,exact
2026-05-01,18,BVR,24,вых/осн.,1,1,0,exact
2026-05-01,18,C,24,вых/осн.,1,1,0,exact
2026-05-01,18,FF,24,вых/осн.,1,1,0,exact
2026-05-01,18,K,24,вых/осн.,2,2,0,exact
2026-05-01,18,TS,24,вых/осн.,1,1,0,exact
2026-05-01,19,BVR,19,вых/осн.,1,1,0,exact
2026-05-01,19,C,19,вых/осн.,1,1,0,exact
2026-05-01,19,FF,19,вых/осн.,1,1,0,exact
2026-05-01,19,K,19,вых/осн.,2,2,0,exact
2026-05-01,19,TS,19,вых/осн.,1,1,0,exact
2026-05-01,20,BVR,22,вых/осн.,1,1,0,exact
2026-05-01,20,C,22,вых/осн.,1,3,2,over
2026-05-01,20,FF,22,вых/осн.,1,2,1,over
2026-05-01,20,K,22,вых/осн.,2,4,2,over
2026-05-01,20,TS,22,вых/осн.,1,1,0,exact
2026-05-01,21,BVR,71,вых/осн.,1,1,0,exact
2026-05-01,21,C,71,вых/осн.,3,3,0,exact
2026-05-01,21,FF,71,вых/осн.,1,2,1,over
2026-05-01,21,K,71,вых/осн.,4,4,0,exact
2026-05-01,21,TS,71,вых/осн.,1,1,0,exact
2026-05-01,22,BVR,73,вых/осн.,1,1,0,exact
2026-05-01,22,C,73,вых/осн.,3,3,0,exact
2026-05-01,22,FF,73,вых/осн.,1,1,0,exact
2026-05-01,22,K,73,вых/осн.,4,4,0,exact
2026-05-01,22,TS,73,вых/осн.,1,1,0,exact
2026-05-02,7,BVR,74,вых/утр.,1,1,0,exact
2026-05-02,7,C,74,вых/утр.,2,2,0,exact
2026-05-02,7,FF,74,вых/утр.,1,1,0,exact
2026-05-02,7,K,74,вых/утр.,3,3,0,exact
2026-05-02,7,TS,74,вых/утр.,1,1,0,exact
2026-05-02,8,BVR,56,вых/утр.,1,1,0,exact
2026-05-02,8,C,56,вых/утр.,2,2,0,exact
2026-05-02,8,FF,56,вых/утр.,1,1,0,exact
2026-05-02,8,K,56,вых/утр.,3,3,0,exact
2026-05-02,8,TS,56,вых/утр.,1,1,0,exact
2026-05-02,9,BVR,25,вых/утр.,1,1,0,exact
2026-05-02,9,C,25,вых/утр.,1,2,1,over
2026-05-02,9,FF,25,вых/утр.,1,1,0,exact
2026-05-02,9,K,25,вых/утр.,2,3,1,over
2026-05-02,9,TS,25,вых/утр.,1,1,0,exact
2026-05-02,10,BVR,20,вых/осн.,1,1,0,exact
2026-05-02,10,C,20,вых/осн.,1,1,0,exact
2026-05-02,10,FF,20,вых/осн.,1,1,0,exact
2026-05-02,10,K,20,вых/осн.,2,2,0,exact
2026-05-02,10,TS,20,вых/осн.,1,1,0,exact
2026-05-02,11,BVR,25,вых/осн.,1,1,0,exact
2026-05-02,11,C,25,вых/осн.,1,1,0,exact
2026-05-02,11,FF,25,вых/осн.,1,1,0,exact
2026-05-02,11,K,25,вых/осн.,2,2,0,exact
2026-05-02,11,TS,25,вых/осн.,1,1,0,exact
2026-05-02,12,BVR,72,вых/осн.,1,1,0,exact
2026-05-02,12,C,72,вых/осн.,3,3,0,exact
2026-05-02,12,FF,72,вых/осн.,1,1,0,exact
2026-05-02,12,K,72,вых/осн.,4,4,0,exact
2026-05-02,12,TS,72,вых/осн.,1,1,0,exact
2026-05-02,13,BVR,73,вых/осн.,1,1,0,exact
2026-05-02,13,C,73,вых/осн.,3,3,0,exact
2026-05-02,13,FF,73,вых/осн.,1,1,0,exact
2026-05-02,13,K,73,вых/осн.,4,4,0,exact
2026-05-02,13,TS,73,вых/осн.,1,1,0,exact
2026-05-02,14,BVR,74,вых/осн.,1,1,0,exact
2026-05-02,14,C,74,вых/осн.,3,3,0,exact
2026-05-02,14,FF,74,вых/осн.,1,1,0,exact
2026-05-02,14,K,74,вых/осн.,4,4,0,exact
2026-05-02,14,TS,74,вых/осн.,1,1,0,exact
2026-05-02,15,BVR,74,вых/осн.,1,1,0,exact
2026-05-02,15,C,74,вых/осн.,3,3,0,exact
2026-05-02,15,FF,74,вых/осн.,1,1,0,exact
2026-05-02,15,K,74,вых/осн.,4,4,0,exact
2026-05-02,15,TS,74,вых/осн.,1,1,0,exact
2026-05-02,16,BVR,59,вых/осн.,1,1,0,exact
2026-05-02,16,C,59,вых/осн.,2,2,0,exact
2026-05-02,16,FF,59,вых/осн.,1,1,0,exact
2026-05-02,16,K,59,вых/осн.,3,3,0,exact
2026-05-02,16,TS,59,вых/осн.,1,1,0,exact
2026-05-02,17,BVR,23,вых/осн.,1,1,0,exact
2026-05-02,17,C,23,вых/осн.,1,1,0,exact
2026-05-02,17,FF,23,вых/осн.,1,1,0,exact
2026-05-02,17,K,23,вых/осн.,2,2,0,exact
2026-05-02,17,TS,23,вых/осн.,1,1,0,exact
2026-05-02,18,BVR,18,вых/осн.,1,1,0,exact
2026-05-02,18,C,18,вых/осн.,1,1,0,exact
2026-05-02,18,FF,18,вых/осн.,1,1,0,exact
2026-05-02,18,K,18,вых/осн.,2,2,0,exact
2026-05-02,18,TS,18,вых/осн.,1,1,0,exact
2026-05-02,19,BVR,22,вых/осн.,1,1,0,exact
2026-05-02,19,C,22,вых/осн.,1,1,0,exact
2026-05-02,19,FF,22,вых/осн.,1,1,0,exact
2026-05-02,19,K,22,вых/осн.,2,2,0,exact
